,favorites,retweets
6494,216,11
10624,418,16
10814,100,7
2637,149,3
11723,62,4
5180,13,3
9885,564,109
7288,16,5
11079,130,5
877,391,34
9647,872,42
196,6254,308
11582,120,12
3383,6,0
4379,2,0
8963,2,0
11794,48,2
2997,51,0
7108,19,2
2571,512,22
6870,755,82
10977,81,10
11135,3028,718
11380,100,10
4711,35,7
4163,170,23
4881,21,2
5379,2556,181
8943,235,22
2682,1108,205
5751,403,90
2508,465,60
5090,26,1
1510,79,5
8372,12,1
6832,13,2
1244,364,40
5500,17818,2971
9837,39,4
10471,1079,18
4121,24,8
8627,1680,134
5306,3736,244
6400,238,72
6153,434,149
254,2788,241
11287,178,24
4511,21,2
7127,854,100
9812,127,35
759,674,77
654,10705,608
7145,81,6
3401,24,0
1420,504,70
3044,57,0
2830,708,94
7899,80,6
328,1376,90
253,5572,296
10720,113,9
4377,9,0
3019,5,0
3029,13,0
2636,1306,162
6967,29,4
6360,103,15
3018,27,2
2945,163,3
3659,14,2
11074,65,3
6909,86,1
5781,1364,503
2663,159,8
5358,2466,363
1362,109,21
7109,65,7
3481,76,1
11444,143,7
8725,536,28
10065,49,11
5032,3,1
6662,24,2
11795,66,2
2880,211,5
3381,21,0
1302,344,49
10894,1217,139
4836,62,10
7809,144,15
7488,243,81
5082,18,3
7672,46,2
942,211,25
3235,2,1
3257,7,1
7707,54,1
8812,669,74
176,3819,454
435,740,18
4952,34,3
308,4887,698
